quote_date,percentile_label,price
2018-11-01,8090,0.3499999
2018-12-01,10,1.6
2018-12-01,1020,0.19999993
2018-12-01,2030,0.05000007
2018-12-01,3040,0.13999999
2018-12-01,4050,0.21000004
2018-12-01,5060,0.79999995
2018-12-01,6070,0.25
2018-12-01,7080,0.25
2018-12-01,8090,0.1500001
2019-01-01,10,1.65
2019-01-01,1020,0.14999998
2019-01-01,2030,0.100000024
2019-01-01,3040,0.100000024
2019-01-01,4050,0.20000005
2019-01-01,5060,1.05
2019-01-01,6070,0.0
2019-01-01,7080,0.25
2019-01-01,8090,0.25
2019-02-01,10,1.5
2019-02-01,1020,0.29999995
2019-02-01,2030,0.05000007
2019-02-01,3040,0.13999999
2019-02-01,4050,0.21000004
2019-02-01,5060,0.99
2019-02-01,6070,0.059999943
2019-02-01,7080,0.25
2019-02-01,8090,0.25
2019-03-01,10,1.5
2019-03-01,1020,0.29999995
2019-03-01,2030,0.05000007
2019-03-01,3040,0.13999999
2019-03-01,4050,0.109999895
2019-03-01,5060,0.4000001
2019-03-01,6070,0.69000006
2019-03-01,7080,0.30999994
2019-03-01,8090,0.25
2019-04-01,10,1.5
2019-04-01,1020,0.29999995
2019-04-01,2030,0.05000007
2019-04-01,3040,0.13200009
2019-04-01,4050,0.21799994
2019-04-01,5060,0.79999995
2019-04-01,6070,0.25
2019-04-01,7080,0.25
2019-04-01,8090,0.1500001
2019-05-01,10,1.6
2019-05-01,1020,0.18999994
2019-05-01,2030,0.110000014
2019-05-01,3040,0.100000024
2019-05-01,4050,0.099999905
2019-05-01,5060,0.4000001
2019-05-01,6070,0.69000006
2019-05-01,7080,0.30999994
2019-05-01,8090,0.25
2019-06-01,10,1.6
2019-06-01,1020,0.19999993
2019-06-01,2030,0.05000007
2019-06-01,3040,0.14999998
2019-06-01,4050,0.099999905
2019-06-01,5060,0.4000001
2019-06-01,6070,0.75
2019-06-01,7080,0.25
2019-06-01,8090,0.25
2019-07-01,10,1.6
2019-07-01,1020,0.19999993
2019-07-01,2030,0.100000024
2019-07-01,3040,0.100000024
2019-07-01,4050,0.099999905
2019-07-01,5060,0.6500001
2019-07-01,6070,0.5
2019-07-01,7080,0.25
2019-07-01,8090,0.25
2019-08-01,10,1.6
2019-08-01,1020,0.049999952
2019-08-01,2030,0.17500007
2019-08-01,3040,0.17499995
2019-08-01,4050,0.099999905
2019-08-01,5060,0.4000001
2019-08-01,6070,0.25
2019-08-01,7080,0.5
2019-08-01,8090,0.42499995
2019-09-01,10,1.6
2019-09-01,1020,0.100000024
2019-09-01,2030,0.14999998
2019-09-01,3040,0.14999998
2019-09-01,4050,0.0
2019-09-01,5060,0.5
2019-09-01,6070,0.5
2019-09-01,7080,0.5
2019-09-01,8090,0.25999904
2019-10-01,10,1.6
2019-10-01,1020,0.19999993
2019-10-01,2030,0.05000007
2019-10-01,3040,0.13999999
2019-10-01,4050,0.109999895
2019-10-01,5060,0.4000001
2019-10-01,6070,0.69000006
2019-10-01,7080,0.30999994
2019-10-01,8090,0.25
2019-11-01,10,1.6
2019-11-01,1020,0.042000055
2019-11-01,2030,0.22000003
2019-11-01,3040,0.13799989
2019-11-01,4050,0.099999905
2019-11-01,5060,0.4000001
2019-11-01,6070,0.25
2019-11-01,7080,0.5
2019-11-01,8090,0.25
2019-12-01,10,1.6
2019-12-01,1020,0.100000024
2019-12-01,2030,0.14999998
2019-12-01,3040,0.14999998
2019-12-01,4050,0.099999905
2019-12-01,5060,0.6500001
2019-12-01,6070,0.24100018
2019-12-01,7080,0.5089998
2019-12-01,8090,0.1500001
2020-01-01,10,1.6
2020-01-01,1020,0.100000024
2020-01-01,2030,0.099999905
2020-01-01,3040,0.20000005
2020-01-01,4050,0.0
2020-01-01,5060,0.5
2020-01-01,6070,0.49
2020-01-01,7080,0.26
2020-01-01,8090,0.43999624
2020-02-01,10,1.6
2020-02-01,1020,0.100000024
2020-02-01,2030,0.099999905
2020-02-01,3040,0.1500001
2020-02-01,4050,0.14999986
2020-02-01,5060,0.4000001
2020-02-01,6070,0.47000003
2020-02-01,7080,0.27999997
2020-02-01,8090,0.5
2020-03-01,10,1.6
2020-03-01,1020,0.18999994
2020-03-01,2030,0.060000062
2020-03-01,3040,0.14999998
2020-03-01,4050,0.2249999
2020-03-01,5060,0.5250001
2020-03-01,6070,0.5
2020-03-01,7080,0.25
2020-03-01,8090,0.25
2020-04-01,10,1.65
2020-04-01,1020,0.14999998
2020-04-01,2030,0.100000024
2020-04-01,3040,0.100000024
2020-04-01,4050,0.1500001
2020-04-01,5060,0.5999999
2020-04-01,6070,0.5
2020-04-01,7080,0.25
2020-04-01,8090,0.25
2020-05-01,10,1.6
2020-05-01,1020,0.18999994
2020-05-01,2030,0.00999999
2020-05-01,3040,0.18200016
2020-05-01,4050,0.16799998
2020-05-01,5060,0.40000296
2020-05-01,6070,0.69999695
2020-05-01,7080,0.25
2020-05-01,8090,0.25
2020-06-01,10,1.65
2020-06-01,1020,0.14999998
2020-06-01,2030,0.100000024
2020-06-01,3040,0.100000024
2020-06-01,4050,0.1500001
2020-06-01,5060,0.3499999
2020-06-01,6070,0.25
2020-06-01,7080,0.7100036
2020-06-01,8090,0.2899964
2020-07-01,10,1.6
2020-07-01,1020,0.1400001
2020-07-01,2030,0.14000022
2020-07-01,3040,0.11999965
2020-07-01,4050,0.1500001
2020-07-01,5060,0.5999999
2020-07-01,6070,0.5
2020-07-01,7080,0.25
2020-07-01,8090,0.25
2020-08-01,10,1.6
2020-08-01,1020,0.09000003
2020-08-01,2030,0.109999895
2020-08-01,3040,0.1500001
2020-08-01,4050,0.14999986
2020-08-01,5060,0.4000001
2020-08-01,6070,0.25
2020-08-01,7080,0.75
2020-08-01,8090,0.25
2020-09-01,10,1.5
2020-09-01,1020,0.19000006
2020-09-01,2030,0.00999999
2020-09-01,3040,0.19999993
2020-09-01,4050,0.100000024
2020-09-01,5060,0.5
2020-09-01,6070,0.5
2020-09-01,7080,0.2800002
2020-09-01,8090,0.4699998
2020-10-01,10,1.55
2020-10-01,1020,0.1400001
2020-10-01,2030,0.00999999
2020-10-01,3040,0.19999993
2020-10-01,4050,0.100000024
2020-10-01,5060,0.5
2020-10-01,6070,0.25
2020-10-01,7080,0.5
2020-10-01,8090,0.5
2020-11-01,10,1.6
2020-11-01,1020,0.100000024
2020-11-01,2030,0.099999905
2020-11-01,3040,0.1500001
2020-11-01,4050,0.049999952
2020-11-01,5060,0.5
2020-11-01,6070,0.0
2020-11-01,7080,0.25
2020-11-01,8090,0.25
2020-12-01,10,1.65
2020-12-01,1020,0.05000007
2020-12-01,2030,0.049999952
2020-12-01,3040,0.100000024
2020-12-01,4050,0.14999998
2020-12-01,5060,0.5
2020-12-01,6070,0.5
2020-12-01,7080,0.25
2020-12-01,8090,0.25
2021-01-01,10,1.5
2021-01-01,1020,0.20000005
2021-01-01,2030,0.099999905
2021-01-01,3040,0.100000024
2021-01-01,4050,0.100000024
2021-01-01,5060,0.5
2021-01-01,6070,0.75
2021-01-01,7080,0.25
2021-01-01,8090,0.25
2021-02-01,10,1.49
2021-02-01,1020,0.21000004
2021-02-01,2030,0.099999905
2021-02-01,3040,0.100000024
2021-02-01,4050,0.100000024
2021-02-01,5060,0.5
2021-02-01,6070,0.5
2021-02-01,7080,0.25
2021-02-01,8090,0.3499999
2021-03-01,10,1.49
2021-03-01,1020,0.15999997
2021-03-01,2030,0.14999998
2021-03-01,3040,0.100000024
2021-03-01,4050,0.100000024
2021-03-01,5060,0.5
2021-03-01,6070,0.75
2021-03-01,7080,0.25
2021-03-01,8090,0.25
2021-04-01,10,1.49
2021-04-01,1020,0.21000004
2021-04-01,2030,0.0
2021-04-01,3040,0.19999993
2021-04-01,4050,0.100000024
2021-04-01,5060,0.5
2021-04-01,6070,0.25
2021-04-01,7080,0.75
2021-04-01,8090,0.25
2021-05-01,10,1.6
2021-05-01,1020,0.100000024
2021-05-01,2030,0.099999905
2021-05-01,3040,0.100000024
2021-05-01,4050,0.100000024
2021-05-01,5060,0.75
2021-05-01,6070,0.5
2021-05-01,7080,0.040000916
2021-05-01,8090,0.20999908
2021-06-01,10,1.59
2021-06-01,1020,0.110000014
2021-06-01,2030,0.099999905
2021-06-01,3040,0.100000024
2021-06-01,4050,0.100000024
2021-06-01,5060,0.5
2021-06-01,6070,0.75
2021-06-01,7080,0.25
2021-06-01,8090,0.25
2021-07-01,10,1.55
2021-07-01,1020,0.100000024
2021-07-01,2030,0.100000024
2021-07-01,3040,0.14999998
2021-07-01,4050,0.100000024
2021-07-01,5060,0.75
2021-07-01,6070,0.5
2021-07-01,7080,0.25
2021-07-01,8090,0.25
2021-08-01,10,1.55
2021-08-01,1020,0.100000024
2021-08-01,2030,0.14999998
2021-08-01,3040,0.100000024
2021-08-01,4050,0.19999993
